species,type,encoding,ACC,SN,SP,MCC,F1
Human,TATA,dna2vec,0.9828767123287672,0.9764309764309764,0.9895470383275261,0.9658420524769946,0.9830508474576272
Human,TATA,ncp,0.976027397260274,0.9797979797979798,0.9721254355400697,0.9520574560209877,0.9765100671140939
Human,TATA,dpp,0.9726027397260274,0.9764309764309764,0.9686411149825784,0.945205167359075,0.9731543624161074
Human,NonTATA,dna2vec,0.93881490059834,0.9499021526418787,0.928027418126428,0.8778896642096315,0.9386965770643976
Human,NonTATA,ncp,0.8778228141285466,0.8313111545988259,0.9230769230769231,0.7582802032719365,0.8703134603564844
Human,NonTATA,dpp,0.9148812970469021,0.9181996086105675,0.9116527037319117,0.8297840469379019,0.9140853302162478
Mouse,TATA,dna2vec,0.9512987012987013,0.9735099337748344,0.9299363057324841,0.9035796499877898,0.9514563106796117
Mouse,TATA,ncp,0.9448051948051948,0.9470198675496688,0.9426751592356688,0.8896012196483577,0.9438943894389439
Mouse,TATA,dpp,0.935064935064935,0.9801324503311258,0.89171974522293,0.8739189860320877,0.9367088607594937
Mouse,NonTATA,dna2vec,0.8726235741444867,0.8836987607244995,0.861611374407583,0.7454556441798814,0.8737040527803959
Mouse,NonTATA,ncp,0.9805133079847909,0.9857006673021925,0.9753554502369668,0.961079999483477,0.9805595068752964
Mouse,NonTATA,dpp,0.9790874524714829,0.9837940896091516,0.9744075829383886,0.9582189894713179,0.9791271347248577
Plants,All,dna2vec,0.9777251184834124,0.9656019656019657,0.9853395061728395,0.952939425425496,0.9709697344039531
Plants,All,ncp,0.9369668246445497,0.9004914004914005,0.9598765432098766,0.8664752387844313,0.9168230143839899
Plants,All,dpp,0.9350710900473934,0.898034398034398,0.9583333333333334,0.8624466310680787,0.9143214509068167
